@gt=  0.000000  | lt=  0.000000 | input=0.4911
@gt=612401.875977  | lt=612408.000000 | input=13.7011
@gt=612565.874329  | lt=612572.000000 | input=0.4911
@gt=612565.874329  | lt=612572.000000 | input=0.4911
@gt=633383.666168  | lt=633390.000000 | input=11.6011
@gt=633448.665527  | lt=633455.000000 | input=8.03
@gt=633514.664856  | lt=633521.000000 | input=21.24
@gt=633514.664856  | lt=633521.000000 | input=13.7011
@gt=633678.663208  | lt=633685.000000 | input=0.4911
@gt=633678.663208  | lt=633685.000000 | input=0.4911
@gt=654496.455048  | lt=654503.000000 | input=11.6011
@gt=654561.454376  | lt=654568.000000 | input=8.03
@gt=654627.453735  | lt=654634.000000 | input=21.24
@gt=654627.453735  | lt=654634.000000 | input=13.7011
@gt=654791.452087  | lt=654798.000000 | input=0.4911
@gt=654791.452087  | lt=654798.000000 | input=0.4911
@gt=675609.243896  | lt=675616.000000 | input=11.6011
@gt=675674.243256  | lt=675681.000000 | input=8.03
@gt=675740.242584  | lt=675747.000000 | input=21.24
@gt=675740.242584  | lt=675747.000000 | input=13.7011
@gt=675904.240967  | lt=675911.000000 | input=0.4911
@gt=675904.240967  | lt=675911.000000 | input=0.4911
@gt=696722.032776  | lt=696729.000000 | input=11.6011
@gt=696787.032135  | lt=696794.000000 | input=8.03
@gt=696853.031464  | lt=696860.000000 | input=21.24
@gt=696853.031464  | lt=696860.000000 | input=13.7011
@gt=697017.029816  | lt=697024.000000 | input=0.4911
@gt=697017.029816  | lt=697024.000000 | input=0.4911
@gt=717834.821655  | lt=717842.000000 | input=11.6011
@gt=717899.821014  | lt=717907.000000 | input=8.03
@gt=717965.820343  | lt=717973.000000 | input=21.24
@gt=717965.820343  | lt=717973.000000 | input=13.7011
@gt=718129.818695  | lt=718137.000000 | input=0.4911
@gt=718129.818695  | lt=718137.000000 | input=0.4911
@gt=738947.610535  | lt=738955.000000 | input=11.6011
@gt=739012.609863  | lt=739020.000000 | input=8.03
@gt=739078.609222  | lt=739086.000000 | input=21.24
@gt=739078.609222  | lt=739086.000000 | input=13.7011
@gt=739242.607574  | lt=739250.000000 | input=0.4911
@gt=739242.607574  | lt=739250.000000 | input=0.4911
@gt=760060.399384  | lt=760068.000000 | input=11.6011
@gt=760125.398743  | lt=760133.000000 | input=8.03
@gt=760191.398071  | lt=760199.000000 | input=21.24
@gt=760191.398071  | lt=760199.000000 | input=13.7011
@gt=760355.396454  | lt=760363.000000 | input=0.4911
@gt=760355.396454  | lt=760363.000000 | input=0.4911
@gt=781173.188263  | lt=781181.000000 | input=11.6011
@gt=781238.187622  | lt=781246.000000 | input=8.03
@gt=781304.186951  | lt=781312.000000 | input=21.24
@gt=781304.186951  | lt=781312.000000 | input=13.7011
@gt=781468.185333  | lt=781476.000000 | input=0.4911
@gt=781468.185333  | lt=781476.000000 | input=0.4911
@gt=802285.977142  | lt=802294.000000 | input=11.6011
@gt=802350.976501  | lt=802359.000000 | input=8.03
@gt=802416.975830  | lt=802425.000000 | input=21.24
@gt=802416.975830  | lt=802425.000000 | input=13.7011
@gt=802580.974182  | lt=802589.000000 | input=0.4911
@gt=802580.974182  | lt=802589.000000 | input=0.4911
@gt=823398.766022  | lt=823407.000000 | input=11.6011
@gt=823463.765350  | lt=823472.000000 | input=8.03
@gt=823529.764709  | lt=823538.000000 | input=21.24
@gt=823529.764709  | lt=823538.000000 | input=13.7011
@gt=823693.763062  | lt=823702.000000 | input=0.4911
@gt=823693.763062  | lt=823702.000000 | input=0.4911
@gt=844511.554871  | lt=844520.000000 | input=11.6011
@gt=844576.554230  | lt=844585.000000 | input=8.03
@gt=844642.553589  | lt=844651.000000 | input=21.24
@gt=844642.553589  | lt=844651.000000 | input=13.7011
@gt=844806.551941  | lt=844815.000000 | input=0.4911
@gt=844806.551941  | lt=844815.000000 | input=0.4911
@gt=865624.343750  | lt=865633.000000 | input=11.6011
@gt=865689.343109  | lt=865698.000000 | input=8.03
